TP,TN,FP,FN,Sensitivity,Specificity,MCC,Coefficient_Bias
9,7,3,1,0.9,0.7,0.6123724356957946,11.119676593012933
10,2,8,0,1,0.2,0.3333333333333333,0.1941953147593314
10,7,3,0,1,0.7,0.7337993857053428,11.356919585999748
10,5,5,0,1,0.5,0.5773502691896257,0.32385992321911705
10,7,3,0,1,0.7,0.7337993857053428,11.394137404578231
10,5,5,0,1,0.5,0.5773502691896257,0.328544252725121
9,9,1,1,0.9,0.9,0.8,11.612974470998862
9,8,2,1,0.9,0.8,0.7035264706814485,0.356815021217421
8,10,0,2,0.8,1,0.816496580927726,11.780631522542539
8,9,1,2,0.8,0.9,0.7035264706814485,0.38896204540674106
